step,update,episodes,avg_reward,avg_len,win_rate,draw_rate,policy_loss,value_loss,entropy,clip_frac,approx_kl,rollout_sec,update_sec
4096,2,137,35.056764166666674,30.03,0.46715328467153283,0.0072992700729927005,-0.0026620192569680513,2832.4445770263674,0.8340580552816391,0.02265625,0.006219058655551635,3.0151591300964355,0.3195929527282715
8192,4,284,34.658837777777784,27.53,0.4894366197183099,0.007042253521126761,-0.0008668176538776607,2860.205447387695,0.8421652279794216,0.0,0.0012481812707846984,3.031827926635742,0.32157206535339355
12288,6,423,24.56582861111111,29.7,0.475177304964539,0.01182033096926714,-0.0015048752771690487,2821.57190246582,0.8419468834996223,0.025927734375,0.005368717320379801,3.03122615814209,0.3234889507293701
16384,8,561,23.255751944444444,30.17,0.46167557932263814,0.012477718360071301,-0.0014769982662983239,2754.1388305664063,0.8266193173825741,0.021044921875,0.004069719549443107,3.0384387969970703,0.3189246654510498
20480,10,694,33.54402277777777,29.66,0.46829971181556196,0.012968299711815562,-0.002581064065452665,2616.292526245117,0.8124701768159867,0.052099609375,0.005589554699690779,3.00551700592041,0.31889891624450684
24576,12,813,49.453166111111116,33.1,0.47232472324723246,0.012300123001230012,-0.0019854204962030052,2532.019610595703,0.8014891989529133,0.043701171875,0.0045472667748981625,3.0252490043640137,0.3185007572174072
28672,14,944,38.233824166666665,31.5,0.475635593220339,0.011652542372881356,-0.0015085071325302124,2601.7526885986326,0.7850725181400776,0.01611328125,0.003234754068398615,3.0235180854797363,0.31950998306274414
32768,16,1075,63.11331138888889,32.12,0.48930232558139536,0.010232558139534883,-0.0024568194989115,2650.4472595214843,0.8149989306926727,0.038916015625,0.006059598943102174,3.024311065673828,0.3200869560241699
36864,18,1196,61.14251916666666,32.92,0.49498327759197325,0.010033444816053512,0.0007046071637887508,2762.083206176758,0.794086829572916,0.01513671875,0.0037736749138275625,3.0396690368652344,0.32199573516845703
40960,20,1325,41.36661055555556,30.9,0.4913207547169811,0.009811320754716982,-0.0022781663574278355,2754.1822357177734,0.7351117722690106,0.024755859375,0.0036460152827203275,3.073148012161255,0.3260481357574463
45056,22,1434,47.110288611111116,36.58,0.4902370990237099,0.010460251046025104,-0.003084872500039637,2368.332727050781,0.7218913592398166,0.046142578125,0.005622365459203138,3.0308780670166016,0.3196299076080322
49152,24,1548,33.45037472222222,35.99,0.4838501291989664,0.0103359173126615,-0.002520202659070492,2407.5986938476562,0.6464891783893109,0.013623046875,0.0026477108938706808,3.0771501064300537,0.3284568786621094
