step,update,episodes,avg_reward,avg_len,win_rate,draw_rate,policy_loss,value_loss,entropy,clip_frac,approx_kl,rollout_sec,update_sec
20480,10,670,37.665369166666665,29.02,0.48955223880597015,0.014925373134328358,-0.0009909394080750643,2693.2963165283204,0.831325764209032,0.002294921875,0.0020174992765532806,3.1117329597473145,0.35564589500427246
40960,20,1356,31.09336500000001,27.82,0.4778761061946903,0.014749262536873156,-0.0019166425976436586,2828.865374755859,0.8104115545749664,0.0158203125,0.003583475886262022,3.2485649585723877,0.4106450080871582
61440,30,1980,49.54312527777776,34.79,0.4808080808080808,0.013636363636363636,-0.0013502175512257963,2372.145492553711,0.5702315732836724,0.006787109375,0.0017127758605056443,3.236686944961548,0.35794878005981445
81920,40,2457,73.6759813888889,45.13,0.4908424908424908,0.013838013838013839,0.0036931291077053176,2034.0754837036134,0.39123396538197996,0.0537109375,0.005136919742017199,3.2543773651123047,0.3607630729675293
102400,50,2856,86.30011138888891,57.19,0.49789915966386555,0.014005602240896359,-0.004675375611986965,1508.3132629394531,0.23511178214102985,0.032763671875,0.003768948281026496,3.1526310443878174,0.3563251495361328
122880,60,3151,97.71773555555555,78.88,0.49476356712154873,0.014598540145985401,0.0015687975217588245,1026.065552520752,0.11186590120196342,0.016650390625,0.0025165924712609923,3.087123155593872,0.3587379455566406
143360,70,3436,103.42051999999995,69.14,0.4959254947613504,0.015133876600698487,0.0007281673373654485,1128.5179306030273,0.16364538110792637,0.034375,0.004461840410613149,3.117849826812744,0.38216495513916016
163840,80,3690,97.92713333333333,83.51,0.491869918699187,0.015176151761517615,-0.0013629766821395607,965.002906036377,0.10415048515424133,0.011669921875,0.003228321556110814,3.083482027053833,0.38196516036987305
184320,90,3932,99.0039736111111,87.34,0.4921159715157681,0.015768056968463885,0.0006261130096390843,752.6295528411865,0.04237591396085918,0.005908203125,0.0018082926969270829,3.001084089279175,0.377028226852417
