step,update,episodes,avg_reward,avg_len,win_rate,draw_rate,policy_loss,value_loss,entropy,clip_frac,approx_kl,rollout_sec,update_sec
4096,2,137,33.01471083333334,30.03,0.45985401459854014,0.0072992700729927005,-0.002147166000213474,2817.8750335693358,0.8410642392933368,0.0078125,0.004552627186058089,2.9878218173980713,0.31749892234802246
8192,4,261,49.79177416666666,31.96,0.49808429118773945,0.01532567049808429,-0.002869220683351159,2599.7750396728516,0.851119726151228,0.0123046875,0.002441417366208043,2.980421304702759,0.3186461925506592
12288,6,389,29.948038333333333,31.43,0.480719794344473,0.015424164524421594,-0.0007596925657708198,2490.3758071899415,0.8402387775480747,0.000732421875,0.0015487531811231748,2.9947216510772705,0.31826210021972656
16384,8,529,44.64878027777779,28.92,0.502835538752363,0.013232514177693762,-0.0014966552902478726,2865.0537139892576,0.8590029641985893,0.00302734375,0.0034575360288727095,3.0069210529327393,0.3335537910461426
20480,10,670,37.665369166666665,29.02,0.48955223880597015,0.014925373134328358,-0.0009909394080750643,2693.2963165283204,0.831325764209032,0.002294921875,0.0020174992765532806,2.9718799591064453,0.3193788528442383
24576,12,800,17.527828611111115,30.42,0.47875,0.0175,-0.0016656150226481258,2523.0098083496096,0.8426931500434875,0.0,0.0018327136334846728,2.9838979244232178,0.320904016494751
28672,14,936,42.73736722222222,29.04,0.4797008547008547,0.017094017094017096,-0.004359949356876313,2968.6526306152346,0.8572239346802235,0.0296875,0.004990490878117271,3.2501959800720215,0.32845497131347656
32768,16,1079,19.63275694444445,28.31,0.4726598702502317,0.016682113067655237,-0.004475729755358771,2758.0937072753904,0.8460597932338715,0.0373046875,0.004443749276106246,100.30302810668945,0.4633750915527344
36864,18,1214,46.94706027777777,30.57,0.4794069192751236,0.015650741350906095,-0.0010948773240670561,2781.531817626953,0.8478923611342907,0.0017578125,0.0024032261128013486,3.0262978076934814,0.3204689025878906
40960,20,1356,31.09336500000001,27.82,0.4778761061946903,0.014749262536873156,-0.0019166425976436586,2828.865374755859,0.8104115545749664,0.0158203125,0.003583475886262022,2.9792611598968506,0.3184051513671875
45056,22,1483,26.61966861111111,31.81,0.471341874578557,0.014834794335805798,-0.0035389373428188265,2677.475061035156,0.7477949284017086,0.04091796875,0.004288055458164308,3.0133259296417236,0.3313109874725342
